title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude,locality_avg_price_per_sqft,distance_to_city_center,distance_to_nearest_transit
 ,13500000,534,25280.89887640449,Goregaon,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.15316391,72.87567139,21215.129935620243,5.252684768097699,0.9406656070598356
Cidco FAM CHS,14000000,804,17412.935323383084,Koper Khairane,Mumbai,Apartment,2,1,0,Semi-Furnished,18,1,19.09443855,73.00896454,13812.115952456661,19.254707300633367,3.5408428160261054
 ,7000000,390,17948.71794871795,Koper Khairane,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.09361649,73.01157379,13812.115952456661,19.52898820462855,3.81470333810589
Rustomjee Virar Avenue L1 L2 And L4,3100000,615,5040.650406504065,Virar,Mumbai,Apartment,1,2,0,Semi-Furnished,1,1,19.47210121,72.80583954,7178.413338932816,2.3071116165875543,2.399820730704106
BM Satyam Solaris,35000000,1600,21875.0,Chembur,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.04473114,72.90990448,24174.11443543407,8.842990920172932,0.2058615059239202
Maitry Heights,2850000,600,4750.0,Virar,Mumbai,Apartment,1,2,0,Semi-Furnished,4,1,19.46762085,72.79753113,7178.413338932816,3.1182678661248255,3.2046223945105843
 ,65000000,1200,54166.66666666666,Khar,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.07024956,72.8334198,46311.73190285697,0.8220654792878721,0.32073771760170305
Sumit Greendale,2900000,600,4833.333333333333,Virar,Mumbai,Apartment,1,2,0,Semi-Furnished,9,1,19.46670723,72.79970551,7178.413338932816,2.9012311022844934,2.9889385113999047
 ,52500000,1000,52500.0,Khar,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,19.07024956,72.8334198,46311.73190285697,0.8220654792878721,0.32073771760170305
 ,77500000,1500,51666.66666666666,Santacruz,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.08271599,72.83628082,31899.615859543188,1.1213860757161247,0.2953608554777914
 ,62500000,1200,52083.333333333336,Santacruz,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,19.08271599,72.83628082,31899.615859543188,1.1213860757161247,0.2953608554777914
Sai Om Sai Heights II All Towers,2500000,595,4201.680672268908,Nala Sopara,Mumbai,Apartment,1,2,0,Semi-Furnished,6,1,19.43055916,72.81002045,7349.523335617902,1.878081124833156,1.9734441998724492
 ,55000000,1000,55000.0,Santacruz,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,19.08271599,72.83628082,31899.615859543188,1.1213860757161247,0.2953608554777914
 ,95000000,1800,52777.77777777778,Santacruz,Mumbai,Apartment,4,4,0,Semi-Furnished,0,1,19.08286476,72.83622742,31899.615859543188,1.1159252743963255,0.29372046301141824
 ,100000000,1900,52631.57894736842,Santacruz,Mumbai,Apartment,4,4,0,Semi-Furnished,0,1,19.08286476,72.83622742,31899.615859543188,1.1159252743963255,0.29372046301141824
 ,62100000,1250,49680.0,Santacruz,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,19.08286476,72.83622742,31899.615859543188,1.1159252743963255,0.29372046301141824
 ,31100000,900,34555.555555555555,Santacruz,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.08271599,72.83628082,31899.615859543188,1.1213860757161247,0.2953608554777914
Mahavir Heights,2600000,600,4333.333333333333,Virar,Mumbai,Apartment,1,2,0,Semi-Furnished,7,1,19.46875572,72.79780579,7178.413338932816,3.0915035320971818,3.178063795131194
Rustomjee Avenue H,2450000,600,4083.3333333333335,Virar,Mumbai,Apartment,1,2,0,Semi-Furnished,12,1,19.47026253,72.80318451,7178.413338932816,2.561655156445799,2.652039573568679
Om Sai Sai Heritage,2450000,595,4117.64705882353,Nala Sopara,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.43349648,72.81319427,7349.523335617902,1.5949589907727793,1.694069176604316
 ,2150000,595,3613.4453781512607,Nalasopara,Mumbai,Apartment,1,2,0,Semi-Furnished,8,1,19.41014671,72.78446198,6089.956553372378,4.422440692298713,4.501240404755151
Sai Om Sai Heights II All Towers,2300000,595,3865.546218487395,Nala Sopara,Mumbai,Apartment,1,2,0,Semi-Furnished,6,1,19.43055916,72.81002045,7349.523335617902,1.878081124833156,1.9734441998724492
DGS Sheetal Sejal,2400000,595,4033.613445378152,Nala Sopara,Mumbai,Apartment,1,2,0,Semi-Furnished,1,1,19.43139267,72.81340027,7349.523335617902,1.5747599557790604,1.674045413444337
 ,100000000,1900,52631.57894736842,Santacruz,Mumbai,Apartment,4,4,0,Semi-Furnished,0,1,19.08286476,72.83622742,31899.615859543188,1.1159252743963255,0.29372046301141824
 ,62100000,1250,49680.0,Santacruz,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,19.08286476,72.83622742,31899.615859543188,1.1159252743963255,0.29372046301141824
 ,31100000,900,34555.555555555555,Santacruz,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.08271599,72.83628082,31899.615859543188,1.1213860757161247,0.2953608554777914
Mahavir Heights,2600000,600,4333.333333333333,Virar,Mumbai,Apartment,1,2,0,Semi-Furnished,7,1,19.46875572,72.79780579,7178.413338932816,3.0915035320971818,3.178063795131194
Rustomjee Avenue H,2450000,600,4083.3333333333335,Virar,Mumbai,Apartment,1,2,0,Semi-Furnished,12,1,19.47026253,72.80318451,7178.413338932816,2.561655156445799,2.652039573568679
Om Sai Sai Heritage,2450000,595,4117.64705882353,Nala Sopara,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.43349648,72.81319427,7349.523335617902,1.5949589907727793,1.694069176604316
 ,2150000,595,3613.4453781512607,Nalasopara,Mumbai,Apartment,1,2,0,Semi-Furnished,8,1,19.41014671,72.78446198,6089.956553372378,4.422440692298713,4.501240404755151
Sai Om Sai Heights II All Towers,2300000,595,3865.546218487395,Nala Sopara,Mumbai,Apartment,1,2,0,Semi-Furnished,6,1,19.43055916,72.81002045,7349.523335617902,1.878081124833156,1.9734441998724492
DGS Sheetal Sejal,2400000,595,4033.613445378152,Nala Sopara,Mumbai,Apartment,1,2,0,Semi-Furnished,1,1,19.43139267,72.81340027,7349.523335617902,1.5747599557790604,1.674045413444337
Poonam Pallazo,2350000,595,3949.579831932773,Nala Sopara,Mumbai,Apartment,1,2,0,Semi-Furnished,8,1,19.4330616,72.81352997,7349.523335617902,1.5653494815809428,1.6648389808836526
Reputed Builder Anand View,2400000,595,4033.613445378152,Nala Sopara,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.42958069,72.8079071,7349.523335617902,2.075697529237681,2.1687949313235815
Leena Oasis,7500000,720,10416.666666666666,Mira Road,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.28560066,72.86910248,12305.61071904151,4.588854781754499,1.3062740715857253
Leena Oasis,10800000,999,10810.81081081081,Mira Road,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.28560066,72.86910248,12305.61071904151,4.588854781754499,1.3062740715857253
Leena Oasis,7400000,720,10277.777777777776,Mira Road,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.28560066,72.86910248,12305.61071904151,4.588854781754499,1.3062740715857253
 ,3200000,400,8000.0,Kalyan,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.24070168,73.14421082,7719.080656201294,33.45882787962099,17.736183297774623
Swaraj Kalash,22000000,1100,20000.0,Chembur,Mumbai,Apartment,2,2,0,Furnished,4,1,19.05316734,72.91209412,24174.11443543407,9.073191221577886,0.42456208644709104
 ,15000000,1620,9259.25925925926,Kharghar,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.03447914,73.07565308,12891.743625541032,26.268269609318985,10.547886226961017
Magnus Pride,7525000,1520,4950.6578947368425,Badlapur,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,18.49951172,73.93989563,4145.485721225118,117.31855851594081,101.51662950350119
Reputed Builder Lok Nisarg Apartments,14000000,740,18918.91891891892,Mulund,Mumbai,Apartment,2,2,0,Semi-Furnished,4,1,19.18757439,72.9404068,22725.13606971763,12.050542099809299,3.399552574425674
BM Satyam Solaris,28100000,841,33412.60404280618,Chembur,Mumbai,Apartment,3,2,0,Unfurnished,0,1,19.04473114,72.90990448,24174.11443543407,8.842990920172932,0.2058615059239202
Krishna Arcade,5400000,1080,5000.0,Ulwe,Mumbai,Apartment,2,2,0,Unfurnished,0,1,18.97902107,73.0478363,9409.086176283141,23.347424377040916,7.633004866447624
Kanakia Kanakia Silicon Valley,57500000,2200,26136.36363636364,Powai,Mumbai,Apartment,3,2,0,Furnished,0,1,19.12483025,72.91654968,28339.62982192632,9.542693480504989,0.8910010789034953
Raj Shree Shashwat Building No 22,6800000,795,8553.459119496856,Mira Road,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.27744293,72.87704468,12305.61071904151,5.415486803619384,0.8781389823678953
 ,65000000,2740,23722.62773722628,Hiranandani Estates,Mumbai,Independent House,3,3,0,Furnished,0,1,19.26084709,72.97283936,17438.87120107483,15.458172560179094,0.29648468811021034
Tejas Sapphire,5500000,700,7857.142857142857,Ulwe,Mumbai,Apartment,1,2,0,Unfurnished,0,1,18.95559311,73.01063538,9409.086176283141,19.437097656561185,3.7402623570801947
Paradise Sai Mannat,15400000,1240,12419.354838709678,Kharghar,Mumbai,Apartment,2,2,0,Semi-Furnished,7,1,19.07082176,73.08248138,12891.743625541032,26.983586538224138,11.262201758087532
Shree Ostwal Ostwal Height,7800000,960,8125.0,Mira Road,Mumbai,Apartment,2,2,0,Unfurnished,11,1,19.29754639,72.87713623,12305.61071904151,5.429079006990555,0.8880497575148384
Leena Bhairav Residency,17100000,1340,12761.194029850749,Mira Road,Mumbai,Apartment,3,3,0,Furnished,8,1,19.29399872,72.87438965,12305.61071904151,5.1418040440916615,1.1454346362436822
Hiranandani Adonia,98000000,2080,47115.38461538462,Powai,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.11348724,72.91153717,28339.62982192632,9.015737592024445,0.36507454826063884
Terraform Everest World,12500000,1000,12500.0,Thane,Mumbai,Apartment,3,3,0,Semi-Furnished,5,1,19.22665024,72.97557831,16239.029686566906,15.745189645999917,0.08431158563002515
MICL Aaradhya One,27500000,1100,25000.0,Chembur,Mumbai,Apartment,2,2,0,Furnished,5,1,19.0673027,72.90022278,24174.11443543407,7.825630521612235,0.6148582859910485
Runwal Bliss,17500000,631,27733.7559429477,Kanjurmarg,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.13327599,72.93379211,24173.7553792528,11.354396570133321,2.7009617883817394
Crescent Silverwoods,16300000,985,16548.223350253807,Powai,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.12290955,72.91329956,28339.62982192632,9.201189906692415,0.5509973000609582
Nahar Yvonne,45500000,1550,29354.83870967742,Powai,Mumbai,Apartment,3,2,0,Semi-Furnished,8,1,19.10557175,72.89860535,28339.62982192632,7.656860141510315,0.7772781222162675
Shapoorji Pallonji Vicinia,24500000,1300,18846.153846153848,Powai,Mumbai,Apartment,2,2,0,Semi-Furnished,2,1,19.11077309,72.90171051,28339.62982192632,7.983277487299815,0.45086788560791213
Nahar Laurel And Lilac,18500000,850,21764.70588235294,Powai,Mumbai,Apartment,2,2,0,Semi-Furnished,10,1,19.10513878,72.90019989,28339.62982192632,7.8243575459980175,0.6098757830909414
Reputed Builder Serenity Heights,22500000,1150,19565.217391304348,Malad,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.17896652,72.83389282,21057.64170268546,0.9380666043554782,0.4865920245126923
K Raheja Celestia Heights,41500000,1670,24850.299401197604,Malad,Mumbai,Apartment,3,3,0,Furnished,18,1,19.17857933,72.83287048,21057.64170268546,0.8415339687577338,0.528584868115964
Hiranandani Torino,94500000,2060,45873.78640776699,Powai,Mumbai,Apartment,3,2,0,Semi-Furnished,15,1,19.1235714,72.91304016,28339.62982192632,9.17396069949309,0.5241613478037385
Reputed Builder Serenity Heights,32500000,1530,21241.83006535948,Malad,Mumbai,Apartment,3,3,0,Furnished,0,1,19.17896652,72.83389282,21057.64170268546,0.9380666043554782,0.4865920245126923
K Raheja K Raheja Interface Heights,23000000,1150,20000.0,Malad,Mumbai,Apartment,2,2,0,Furnished,11,1,19.18694305,72.83223724,21057.64170268546,0.791696613313278,0.5771493880284405
